Word,Synonyms,Antonyms,Causes,Caused_By,Category
forbid,"prohibit, ban, disallow, deny","allow, permit, enable, authorize","prohibition, forbidding, denial","authority, law, rule",FORCING
prohibit,"forbid, ban, disallow, bar","allow, permit, enable, authorize","prohibition, forbidding, banning","authority, law, rule",FORCING
ban,"prohibit, forbid, bar, exclude","allow, permit, enable, authorize","banning, prohibition, exclusion","authority, law, decision",FORCING
bar,"prevent, prohibit, block, exclude","allow, permit, enable, include","barring, prevention, exclusion","action, authority, obstacle",FORCING
exclude,"bar, remove, shut out, eliminate","include, admit, welcome, accept","exclusion, removal, rejection","decision, rule, bias",FORCING
confine,"restrict, limit, imprison, bind","free, release, allow, liberate","confinement, restriction, imprisonment","law, safety, punishment",FORCING
restrict,"limit, confine, constrain, bound","free, allow, expand, liberate","restriction, limitation, constraint","regulation, safety, control",FORCING
limit,"restrict, bound, confine, cap","expand, increase, free, allow","limitation, restriction, capping","necessity, regulation, boundary",FORCING
constrain,"restrict, limit, compel, bind","free, allow, expand, relax","constraint, restriction, compulsion","law, necessity, force",FORCING
bind,"tie, fasten, constrain, obligate","unbind, free, loosen, release","binding, fastening, constraint","action, obligation, contract",FORCING
tie,"bind, fasten, attach, connect","untie, unbind, loosen, sever","tying, binding, connection","action, intention, knots",FORCING
fasten,"secure, attach, bind, lock","unfasten, loosen, release, unlock","fastening, securing, attachment","action, security, intention",FORCING
lock,"secure, fasten, bolt, close","unlock, open, release, unfasten","locking, securing, closure","security, intention, mechanism",FORCING
chain,"bind, shackle, restrain, confine","unchain, free, liberate, release","chaining, binding, restraint","confinement, punishment, control",FORCING
shackle,"chain, bind, restrain, confine","unshackle, free, liberate, release","shackling, binding, restraint","confinement, punishment, control",FORCING
restrain,"hold back, control, curb, limit","release, free, encourage, allow","restraint, control, limiting","control, safety, discipline",FORCING
control,"govern, command, manage, regulate","free, allow, release, liberate","control, governance, management","authority, power, discipline",FORCING
govern,"control, rule, manage, direct","free, liberate, allow, abandon","governance, control, ruling","authority, law, responsibility",FORCING
manage,"control, direct, handle, oversee","mismanage, neglect, abandon, chaos","management, control, oversight","authority, responsibility, skill",FORCING
regulate,"control, manage, govern, order","deregulate, chaos, free, uncontrolled","regulation, control, order","law, authority, rule",FORCING
curb,"restrain, limit, control, check","encourage, allow, free, unleash","curbing, restraint, control","discipline, safety, control",FORCING
check,"stop, examine, verify, control","allow, accelerate, ignore, uncontrolled","checking, stopping, verification","inspection, safety, verification",FORCING
suppress,"repress, squelch, quash, prevent","express, allow, encourage, promote","suppression, repression, prevention","authority, fear, control",FORCING
repress,"suppress, squelch, restrain, prevent","express, release, encourage, free","repression, suppression, restraint","authority, psychological, control",FORCING
squelch,"suppress, crush, quash, silence","encourage, express, promote, voice","suppression, crushing, silencing","authority, force, intention",FORCING
quash,"suppress, crush, annul, overturn","approve, allow, uphold, promote","quashing, suppression, annulment","authority, decision, legal action",FORCING
oppress,"suppress, burden, subjugate, dominate","liberate, free, relieve, help","oppression, burden, domination","authority, power, malice",FORCING
dominate,"control, rule, command, govern","submit, yield, liberate, free","domination, control, ruling","power, authority, aggression",FORCING
coerce,"force, compel, pressure, threaten","persuade, invite, allow, encourage","coercion, threat, pressure","threat, power, violence",FORCING
threaten,"menace, intimidate, endanger, warn","reassure, protect, comfort, defend","threat, menace, danger","aggression, danger, hostility",FORCING
intimidate,"threaten, frighten, bully, coerce","reassure, embolden, comfort, encourage","intimidation, fear, threat","aggression, power, hostility",FORCING
bully,"intimidate, threaten, harass, coerce","protect, support, defend, comfort","bullying, intimidation, harassment","insecurity, aggression, power imbalance",FORCING
harass,"bully, pester, hound, torment","protect, support, help, assist","harassment, persecution, torment","hostility, malice, aggression",FORCING
