Word,Synonyms,Antonyms,Causes,Caused_By,Category
scald,"burn, heat intensely, parboil, blanch","cool, chill, freeze, refrigerate","severe heat damage, temperature critical increase","very hot liquid, extreme heat, steam",TEMPERATURE
overheat,"overtemperature, superheat, scorch, ignite","cool, chill, refrigerate, freeze","excessive heat, damage, malfunction","continuous use, insufficient cooling, sun exposure",TEMPERATURE
defrost,"thaw, unfreeze, deice, warm","freeze, frost, ice, congeal","ice removal, thawing, heat circulation","heat application, warming, sun",TEMPERATURE
evaporate,"vaporize, vanish, dissipate, escape","condense, liquefy, coalesce, collect","liquid to gas conversion, moisture loss, vapor formation","heat, sun exposure, low humidity, pressure",PHASE_CHANGE
condense,"compress, liquidize, coalesce, precipitate","evaporate, vaporize, disperse, expand","gas to liquid conversion, droplet formation, dew","cooling, pressure increase, cold surface",PHASE_CHANGE
solidify,"harden, coagulate, congeal, freeze","liquefy, melt, soften, dissolve","liquid to solid conversion, hardening, setting","cooling, chemical reaction, pressure",PHASE_CHANGE
liquefy,"melt, dissolve, soften, thaw","solidify, freeze, harden, congeal","solid to liquid conversion, melting, dissolution","heat, solvent, pressure, time",PHASE_CHANGE
melt,"liquefy, thaw, dissolve, soften","freeze, solidify, harden, congeal","solid to liquid conversion, ice loss, softening","heat, friction, pressure, sun",PHASE_CHANGE
vaporize,"evaporate, gasify, sublimate, vanish","condense, liquefy, solidify, collect","liquid/solid to gas conversion, disappearance, steam","extreme heat, radiation, low pressure",PHASE_CHANGE
crystallize,"solidify, coagulate, harden, precipitate","dissolve, melt, liquefy, disperse","crystal formation, solid structure, organization","cooling, saturation, nucleation, evaporation",PHASE_CHANGE
sublimate,"vaporize, evaporate, transform, gasify","deposit, condense, liquefy, solidify","solid to gas direct conversion, disappearance","heat, low pressure, high temperature",PHASE_CHANGE
deposit,"precipitate, form, condense, solidify","sublimate, vaporize, evaporate, dissolve","gas to solid direct conversion, frost formation","cooling, low temperature, pressure",PHASE_CHANGE
congeal,"coagulate, solidify, gel, harden","liquefy, melt, dissolve, thaw","liquid to solid gradual conversion, thickening","cooling, chemical reaction, coagulant",PHASE_CHANGE
coagulate,"clot, curdle, gel, congeal","dissolve, separate, disperse, liquefy","particle aggregation, curdling, clotting","temperature, pH change, coagulant agent",PHASE_CHANGE
thicken,"densify, concentrate, condense, coagulate","thin, dilute, liquefy, lighten","density increase, viscosity increase, consistency change","evaporation, addition, cooking, starch",DENSITY
thin,"dilute, weaken, reduce, lighten","thicken, concentrate, densify, condense","density decrease, viscosity decrease, thinning","liquid addition, dissolution, heating",DENSITY
concentrate,"densify, strengthen, thicken, reduce","dilute, weaken, thin, disperse","density increase, strength increase, reduction","evaporation, removal, focusing",DENSITY
dilute,"thin, weaken, reduce strength, disperse","concentrate, thicken, strengthen, reduce","density decrease, strength reduction, solution","liquid addition, water, solvent",DENSITY
compact,"compress, condense, densify, consolidate","loosen, expand, scatter, disperse","density increase, space reduction, hardening","pressure, pounding, vibration, settling",DENSITY
loosen,"relax, release, separate, scatter","tighten, compact, condense, compress","density decrease, space increase, opening","force, shaking, relaxation, heat",DENSITY
densify,"compact, thicken, condense, concentrate","lighten, loosen, disperse, expand","density increase, mass concentration, hardening","pressure, heat, settling, chemical reaction",DENSITY
lighten,"reduce weight, diminish, ease, lessen","darken, densify, weigh, burden","weight reduction, lightness, ease","removal, dissolution, physical change",DENSITY
pressurize,"compress, pressurize, increase pressure, inflate","depressurize, release, decompress, vent","pressure increase, compression, tightness","pumping, sealing, mechanical force",PRESSURE
depressurize,"decompress, release, vent, reduce pressure","pressurize, compress, seal, inflate","pressure decrease, release, expansion","opening valve, venting, puncture",PRESSURE
squeeze,"compress, press, crush, wring","release, expand, loosen, relax","pressure application, compression, extraction","hand pressure, mechanical force, weight",PRESSURE
pinch,"squeeze, compress, crimp, nip","release, expand, loosen, separate","compression, pain, closing, extraction","fingers, pressure, mechanical action",PRESSURE
tighten,"compress, clench, strain, constrict","loosen, relax, unfasten, release","tension increase, compression, security","twisting, force, muscle action",PRESSURE
strain,"stress, tension, force, stretch","relax, ease, loosen, release","tension creation, stress, deformation potential","weight, force, pulling, pressure",PRESSURE
harden,"solidify, stiffen, calcify, indurate","soften, weaken, liquefy, relax","hardness increase, brittleness, rigidity","cooling, chemical reaction, drying, aging",PHASE_CHANGE
soften,"weaken, relax, ease, mellow","harden, stiffen, calcify, petrify","hardness decrease, flexibility, gentleness","heat, moisture, time, kneading",PHASE_CHANGE
stiffen,"harden, rigidify, tense, brace","relax, soften, loosen, flex","rigidity increase, tension, firmness","starch, cold, muscle action, support",PHASE_CHANGE
gel,"coagulate, solidify, set, congeal","liquefy, dissolve, melt, flow","gelation, semi-solid formation, thickening","cooling, gelatin addition, chemical reaction",PHASE_CHANGE
curdle,"coagulate, clot, separate, curdle","blend, mix, emulsify, smooth","protein coagulation, separation, curdling","acid, heat, enzyme, time",PHASE_CHANGE
dissolve,"disperse, liquefy, disintegrate, spread","precipitate, solidify, crystallize, coagulate","liquid formation, disappearance, solution","solvent, heat, stirring, time",PHASE_CHANGE
