Word,Category,Synonym_Count,Interconnections,Causes,Triggered_By
spiral,ROTATIONAL,4,1,"rotating ascent/descent, curved motion","rotational + vertical movement, spiral path"
twist,ROTATIONAL,4,3,"rotation, contortion, wringing","body rotation, wringing intent, muscle contraction"
dodge,EVASIVE/DIRECTIONAL,4,5,"obstacle avoidance, escape, side movement","threat avoidance, evasion intent, reflex"
weave,EVASIVE/DIRECTIONAL,4,1,"winding path, obstacle navigation","traffic navigation, evasion, obstacle course"
swerve,EVASIVE/DIRECTIONAL,4,5,"sudden directional change, obstacle avoidance","obstacle, steering, evasion"
advance,EVASIVE/DIRECTIONAL,4,1,"forward progression, goal approach, attack","aggressive intent, progress goal, boldness"
retreat,EVASIVE/DIRECTIONAL,4,1,"backward movement, position loss, escape","defeat, fear, strategic withdrawal"
pursue,EVASIVE/DIRECTIONAL,4,1,"target following, goal pursuit, capture","hunting, chasing intent, law enforcement"
chase,EVASIVE/DIRECTIONAL,4,1,"target pursuit, capture attempt","predation, game, enforcement"
flee,EVASIVE/DIRECTIONAL,4,2,"rapid escape, distance increase, survival","danger, fear, threat"
slip,PASSIVE/INVOLUNTARY,4,3,"involuntary sliding, loss of traction","friction loss, wet surface, loose footing"
slide,PASSIVE/INVOLUNTARY,4,6,"frictionless movement, smooth progression","gravity, smooth surface, low friction"
skid,PASSIVE/INVOLUNTARY,4,2,"loss of traction, uncontrolled sliding","speed, wet surface, friction loss"
trip,PASSIVE/INVOLUNTARY,4,1,"falling motion, balance loss, ground impact","obstacle, inattention, uneven ground"
collapse,PASSIVE/INVOLUNTARY,4,1,"sudden body failure, loss of support","exhaustion, structural failure, injury"
coast,PASSIVE/INVOLUNTARY,4,2,"momentum-based movement, distance coverage","momentum, gravity, powered vehicle"
topple,PASSIVE/INVOLUNTARY,4,1,"tipping over, downward collapse","imbalance, gravity, external force"
wriggle,PASSIVE/INVOLUNTARY,4,0,"side-to-side movement, escape attempt","discomfort, escape intent, infant movement"
