Word,Synonyms,Antonyms,Causes,Caused_By,Category
collaborate,"cooperate, work together, partner, team","compete, isolate, oppose, sabotage","combined effort, shared results, synergy","common goals, expertise sharing, efficiency",GROUP_DYNAMICS
include,"accept, embrace, admit, welcome","exclude, reject, isolate, shun","group membership, belonging, participation","acceptance, openness, values alignment",GROUP_DYNAMICS
exclude,"ban, reject, isolate, shun","include, accept, welcome, embrace","group boundary, rejection, isolation","disagreement, values clash, judgment",GROUP_DYNAMICS
isolate,"separate, exclude, quarantine, detach","include, unite, connect, integrate","separation, loneliness, vulnerability","rejection, punishment, disease",GROUP_DYNAMICS
welcome,"greet, receive, accept, embrace","reject, shun, exclude, rebuff","acceptance, belonging, positive greeting","hospitality, acceptance, shared values",GROUP_DYNAMICS
participate,"join, contribute, engage, take part","abstain, withdraw, refrain, sit out","group involvement, contribution, membership","interest, invitation, commitment",GROUP_DYNAMICS
shun,"avoid, reject, exclude, spurn","welcome, embrace, accept, befriend","rejection, isolation, boundary setting","disapproval, disrespect, judgment",GROUP_DYNAMICS
respect,"honor, admire, esteem, value","disrespect, insult, despise, demean","hierarchy acknowledgment, deference, relationship quality","virtue, achievement, character",BONDING
admire,"respect, esteem, revere, idolize","despise, disrespect, scorn, mock","emotional connection, positive regard, motivation","achievement, character, qualities",BONDING
learn,"study, understand, discover, acquire","forget, unlearn, ignore, neglect","knowledge acquisition, growth, development","teaching, experience, study",BONDING
request,"ask, petition, appeal, solicit","demand, command, order, insist","action request, permission seeking, cooperation","need, politeness, uncertainty",DOMINANCE
permit,"allow, enable, authorize, consent","forbid, deny, prohibit, prevent","action allowance, freedom, authority exercise","authority, consent, judgment",DOMINANCE
allow,"permit, enable, tolerate, consent","forbid, deny, prevent, prohibit","action allowance, freedom, consent","authority, tolerance, judgment",DOMINANCE
forbid,"ban, prohibit, prevent, deny","permit, allow, authorize, enable","action prevention, boundary setting, control","authority, danger, values",DOMINANCE
deny,"refuse, reject, disallow, prohibit","grant, allow, permit, give","action prevention, refusal, deprivation","judgment, authority, disagreement",DOMINANCE
accept,"receive, embrace, approve, consent","reject, refuse, decline, deny","relationship acceptance, agreement, bonding","approval, choice, values",BONDING
reject,"refuse, deny, spurn, decline","accept, embrace, approve, welcome","refusal, exclusion, relationship damage","disapproval, incompatibility, values",CONFLICT
neglect,"ignore, disregard, abandon, overlook","care for, nurture, support, attend","abandonment, emotional harm, relationship damage","carelessness, disinterest, deprioritization",CONFLICT
abandon,"desert, forsake, leave, discard","support, stay, commit, embrace","relationship termination, betrayal, harm","choice, fear, disinterest",CONFLICT
disobey,"defy, rebel, resist, violate","obey, comply, follow, submit","authority challenge, control assertion, conflict","disagreement, autonomy assertion, disrespect",CONFLICT
beg,"plead, entreat, implore, beseech","demand, command, order, insist","action request, appeal, submission","desperation, need, humility",SUBMISSION
