Word,Synonyms,Antonyms,Causes,Caused_By,Category
roll,"rotate, tumble, pitch, turn over","stick, hold, slide","rotating progression, body rotation","gravity, rolling intent, cylindrical shape",ROTATIONAL
tumble,"roll, somersault, flip, cartwheel","stand, hold, balance","multiple rotations, acrobatic movement","loss of balance, gymnastics, impact",ROTATIONAL
somersault,"tumble, flip, cartwheel, roll","stand, walk, balance","complete forward rotation, acrobatic movement","gymnastics, diving, intentional flip",ROTATIONAL
spiral,"twist, coil, whirl, wind","straighten, unwind, linearize","rotating ascent/descent, curved motion","rotational + vertical movement, spiral path",ROTATIONAL
whirl,"spin, rotate, twirl, gyrate","still, hold, straighten","fast rotational motion, dizziness","emotional state, rapid rotation, vigorous movement",ROTATIONAL
twirl,"spin, whirl, rotate, pirouette","hold, fix, straighten","circular dance motion, playful rotation","dancing, playfulness, joy",ROTATIONAL
swirl,"twist, curl, swirl, eddy","straighten, settle, still","circular flowing motion, vortex formation","fluid dynamics, air/water movement, spiral path",ROTATIONAL
cartwheel,"flip, tumble, somersault, roll","stand, walk, hold","sideways rotation, acrobatic display","gymnastics, playfulness, muscle power",ROTATIONAL
dodge,"evade, sidestep, swerve, avoid","face, meet, confront","obstacle avoidance, escape, side movement","threat avoidance, evasion intent, reflex",EVASIVE/DIRECTIONAL
weave,"dodge, zigzag, swerve, wind","straighten, hold course, collide","winding path, obstacle navigation","traffic navigation, evasion, obstacle course",EVASIVE/DIRECTIONAL
zigzag,"weave, dodge, swerve, alternate","straighten, maintain course, linearize","angular path progression, unpredictable movement","evasion, drunk walking, path necessity",EVASIVE/DIRECTIONAL
swerve,"veer, dodge, turn, swerve","straighten, maintain, hold","sudden directional change, obstacle avoidance","obstacle, steering, evasion",EVASIVE/DIRECTIONAL
sidestep,"dodge, evade, avoid, step aside","confront, face, engage","lateral movement, avoidance, evasion","obstacle avoidance, evasion intent, boxing",EVASIVE/DIRECTIONAL
retreat,"withdraw, backtrack, retire, flee","advance, attack, charge","backward movement, position loss, escape","defeat, fear, strategic withdrawal",EVASIVE/DIRECTIONAL
advance,"proceed, progress, move forward, charge","retreat, withdraw, recede","forward progression, goal approach, attack","aggressive intent, progress goal, boldness",EVASIVE/DIRECTIONAL
approach,"advance, near, draw close, move toward","retreat, withdraw, recede","proximity increase, nearness achievement","approach intent, goal, person/object",EVASIVE/DIRECTIONAL
withdraw,"retreat, back away, recede, retire","advance, approach, attack","backward movement, distance increase","fear, strategic decision, rejection",EVASIVE/DIRECTIONAL
flee,"escape, run away, bolt, abscond","stay, remain, confront","rapid escape, distance increase, survival","danger, fear, threat",EVASIVE/DIRECTIONAL
escape,"flee, bolt, abscond, get away","stay, surrender, capture","freedom achievement, danger evasion","captivity, threat, freedom intent",EVASIVE/DIRECTIONAL
chase,"pursue, hunt, run after, follow","flee, escape, hide","target pursuit, capture attempt","predation, game, enforcement",EVASIVE/DIRECTIONAL
pursue,"chase, follow, hunt, track","flee, escape, abandon","target following, goal pursuit, capture","hunting, chasing intent, law enforcement",EVASIVE/DIRECTIONAL
duck,"dodge, stoop, crouch, sidestep","rise, stand tall, confront","low movement, obstacle avoidance","projectile avoidance, crouching, hiding",EVASIVE/DIRECTIONAL
slip,"slide, skid, glide, lose footing","grip, stop, hold","involuntary sliding, loss of traction","friction loss, wet surface, loose footing",PASSIVE/INVOLUNTARY
slide,"slip, glide, skid, coast","grip, stick, hold","frictionless movement, smooth progression","gravity, smooth surface, low friction",PASSIVE/INVOLUNTARY
skid,"slide, slip, skitter, screech","grip, brake, stop","loss of traction, uncontrolled sliding","speed, wet surface, friction loss",PASSIVE/INVOLUNTARY
trip,"stumble, fall, tumble, pitch","balance, steady, stand","falling motion, balance loss, ground impact","obstacle, inattention, uneven ground",PASSIVE/INVOLUNTARY
collapse,"fall, crumble, fail, tumble","stand, rise, hold","sudden body failure, loss of support","exhaustion, structural failure, injury",PASSIVE/INVOLUNTARY
topple,"fall, tip over, tumble, collapse","stand, balance, hold","tipping over, downward collapse","imbalance, gravity, external force",PASSIVE/INVOLUNTARY
coast,"glide, drift, slide, cruise","accelerate, power, propel","momentum-based movement, distance coverage","momentum, gravity, powered vehicle",PASSIVE/INVOLUNTARY
slither,"slide, glide, crawl, undulate","hop, jump, stride","sinuous ground-hugging movement, snake locomotion","snake anatomy, undulation, ground contact",PASSIVE/INVOLUNTARY
wriggle,"squirm, twist, writhe, undulate","hold still, freeze, rest","side-to-side movement, escape attempt","discomfort, escape intent, infant movement",PASSIVE/INVOLUNTARY
