Word,Synonyms,Antonyms,Causes,Caused_By,Category
heave,"throw, hurl, toss, cast","catch, hold, keep, secure","forceful throw, heavy object flight, effort display","weight, strength exertion, throwing force",THROWING
hit,"strike, knock, bang, thump","miss, evade, dodge, avoid","impact, damage, force transfer, collision","striking intent, force application, target presence",STRIKING
strike,"hit, beat, knock, bang","miss, dodge, evade, parry","impact force, damage, collision, sound production","striking intent, anger, combat action",STRIKING
punch,"hit, strike, bash, sock","caress, stroke, gentle touch, miss","blunt force impact, injury, momentum transfer","combat intent, anger, force application",STRIKING
slap,"hit, strike, smack, whack","caress, stroke, pat, gentle touch","hand impact, sound production, face contact","anger, punishment, attention getting",STRIKING
kick,"strike, hit, boot, bash","miss, dodge, evade, avoid","foot impact, distance achievement, force transfer","foot power, striking intent, force application",STRIKING
beat,"strike, hit, pound, thrash","gentle touch, caress, stroke, miss","repeated impact, fatigue, damage, rhythm production","striking intent, rhythm creation, violence",STRIKING
pound,"beat, strike, hammer, thump","caress, stroke, gentle tap, miss","repeated heavy impact, sound production, damage","striking force, rhythm intent, force application",STRIKING
hammer,"pound, strike, beat, bash","gently place, ease down, careful handling, miss","nail driving, surface impact, repeated force","tool use, construction, force application",STRIKING
smash,"strike, bash, crash, shatter","gentle handling, careful placement, repair, miss","object destruction, violent impact, breakage","destructive intent, anger, force application",STRIKING
bash,"hit, strike, pound, crash","gentle touch, caress, miss, dodge","violent impact, sound production, damage","violent intent, force application, anger",STRIKING
tap,"knock, rap, pat, strike lightly","pound, smash, bash, hard strike","light impact, sound production, attention getting","signal intent, attention seeking, light touch",STRIKING
knock,"tap, rap, bang, hit","miss, avoid, dodge, gentleness","door signaling, impact, sound production","entry intent, attention seeking, strike action",STRIKING
whack,"hit, strike, bash, smack","miss, dodge, gentle touch, caress","forceful impact, sound production, object movement","striking force, anger, impact intent",STRIKING
smack,"hit, strike, slap, bang","miss, dodge, gentle touch, caress","hand-based impact, sound production, pain","hand strike, attention getting, punishment",STRIKING
rap,"tap, knock, strike, bang","miss, dodge, gentleness, caress","quick impact, sound production, signaling","attention seeking, knocking, quick strike",STRIKING
cut,"slice, chop, sever, carve","join, glue, unite, fuse","separation, surface division, injury","sharp tool, cutting intent, force application",CUTTING
slice,"cut, carve, sever, divide","join, glue, unite, mend","thin piece separation, clean division, portion creation","knife use, portion intent, cutting skill",CUTTING
chop,"cut, hack, sever, divide","join, glue, assemble, unite","rough piece separation, vegetable processing, axe impact","cooking, wood processing, cutting force",CUTTING
carve,"cut, sculpt, shape, etch","smooth, fill, cover, glue","decorative division, art creation, shape formation","artistic intent, tool use, design creation",CUTTING
saw,"cut, slice, sever, divide","join, glue, unite, assemble","tool-based division, plank separation, precise cutting","saw tool, cutting intent, material removal",CUTTING
hack,"cut, chop, slash, sever","join, glue, unite, mend","rough cutting, violent separation, material removal","machete use, rough force, material removal",CUTTING
split,"sever, divide, cleave, separate","join, unite, fuse, merge","complete separation, two-part division, fracturing","axe use, natural weakness, force application",CUTTING
sever,"cut, separate, sunder, divide","join, unite, fuse, connect","complete separation, connection breaking, object division","cutting intent, tool use, separation goal",CUTTING
pierce,"puncture, stab, poke, perforate","seal, close, cover, mend","hole creation, membrane penetration, object perforation","sharp object, penetration intent, force application",CUTTING
stab,"pierce, poke, puncture, thrust","withdraw, pull out, seal, cover","penetrating wound, object perforation, blade entry","knife use, violent intent, force application",CUTTING
puncture,"pierce, poke, perforate, stab","seal, patch, close, repair","hole creation, air release, object damage","sharp object, accident, intentional perforation",CUTTING
poke,"pierce, prod, jab, thrust","withdraw, retract, seal, cover","light penetration, surface disturbance, attention getting","stick use, finger action, light force",CUTTING
trim,"cut, clip, shear, prune","grow, lengthen, extend, allow","neat edge creation, excess removal, size reduction","grooming intent, precision, tidiness desire",CUTTING
clip,"cut, snip, trim, sever","connect, join, lengthen, extend","small piece removal, quick cutting, separation","scissors use, clipping intent, quick cut",CUTTING
snip,"clip, cut, trim, sever","join, connect, extend, lengthen","small precise cuts, quick separation, thread removal","scissors use, precision need, quick action",CUTTING
slash,"cut, gash, slit, hack","heal, mend, close, seal","long cut creation, violent damage, surface division","blade use, violent force, slashing motion",CUTTING
shear,"cut, clip, trim, sever","grow, lengthen, extend, connect","wool removal, hedge shaping, material removal","shears use, sheep shearing, grooming",CUTTING
gash,"slash, cut, wound, injure","heal, close, seal, mend","deep wound creation, violent separation, bleeding","sharp tool, violent impact, accident",CUTTING
whittle,"carve, sculpt, shape, shave","add, build up, restore, glue","gradual removal, shape formation, artistic creation","knife use, artistic intent, gradual process",CUTTING
shave,"cut, trim, scrape, pare","grow, keep, maintain, preserve","thin layer removal, smooth surface, hair removal","razor use, grooming, smoothing intent",CUTTING
join,"connect, attach, unite, link","separate, sever, disconnect, divide","connection formation, unity creation, assembly","connection intent, proximity, assembly need",JOINING
connect,"join, attach, link, fasten","disconnect, sever, separate, detach","connection establishment, unit formation, circuit completion","connection intent, proximity, assembly",JOINING
attach,"fasten, connect, join, affix","detach, remove, disconnect, separate","secure connection, object affixing, assembly","fastening intent, adherence method, security need",JOINING
fasten,"attach, secure, bind, fix","loosen, unfasten, release, disconnect","secure connection, stability increase, safety","security need, fastening method, assembly",JOINING
bind,"tie, fasten, secure, constrain","untie, release, loosen, unbind","constraint application, bundle formation, securing","binding intent, constraint need, fastening",JOINING
tie,"bind, fasten, secure, knot","untie, loosen, release, unbind","knot formation, binding, constraint","tying intent, binding need, knot creation",JOINING
link,"connect, join, attach, chain","disconnect, separate, sever, unlink","chain formation, connection establishment, unit creation","connection intent, linking action, assembly",JOINING
fuse,"join, merge, unite, blend","separate, split, divide, sever","complete union, melted joining, molecular bonding","heat, pressure, fusion intent",JOINING
weld,"fuse, join, solder, seld","separate, cut, sever, divide","heat-based joining, metal fusion, permanent bond","welding torch, heat application, metal joining",JOINING
glue,"paste, adhere, cement, stick","separate, peel off, unstick, detach","adhesive bonding, surface joining, temporary/permanent bond","adhesive application, bonding intent, surface contact",JOINING
merge,"join, blend, combine, unite","separate, split, divide, distinguish","unit combination, unity formation, integration","merger intent, integration desire, combination need",JOINING
unite,"join, combine, merge, connect","separate, divide, split, disconnect","group formation, unity achievement, integration","unity intent, collaboration, common goal",JOINING
cement,"glue, bind, affix, bond","separate, sever, disconnect, dissolve","permanent bonding, concrete formation, solid joining","cement application, bonding need, construction",JOINING
solder,"weld, fuse, join, seld","separate, unsolder, disconnect, cut","electrical connection, heat-based joining, metal bonding","solder iron, electrical need, metal joining",JOINING
clamp,"grip, secure, hold, fasten","release, loosen, open, separate","vice-like holding, temporary securing, compression","stabilization need, securing intent, clamping tool",JOINING
bend,"curve, flex, bow, fold","straighten, unbend, extend, flatten","curve formation, angle change, shape alteration","force application, flexibility, pressure",SHAPING
fold,"crease, bend, double, pleat","unfold, open, extend, flatten","crease formation, surface doubling, compact folding","folding intent, material flexibility, space saving",SHAPING
twist,"rotate, turn, writhe, screw","straighten, untwist, unwind, relax","rotational deformation, spiral formation, shape alteration","twisting force, rotation intent, torque application",SHAPING
crush,"squeeze, compress, smash, squash","expand, inflate, decompress, release","volume reduction, object damage, pulping","force application, pressure, compression intent",SHAPING
flatten,"press, squash, level, compress","raise, inflate, puff, mound","planar surface creation, dimension reduction, leveling","pressure application, flattening intent, smoothing",SHAPING
stretch,"extend, pull, lengthen, draw","compress, shrink, contract, fold","length increase, tension creation, elongation","pulling force, elongation intent, material elasticity",SHAPING
compress,"squeeze, compact, press, condense","expand, decompress, inflate, loosen","volume reduction, density increase, compaction","pressure application, compression intent, force",SHAPING
mold,"shape, form, sculpt, cast","unmold, reshape, break, distort","shape formation, artistic creation, form casting","molding intent, mold use, artistic vision",SHAPING
shape,"form, mold, fashion, sculpt","deform, reshape, distort, disform","form creation, contour establishment, design formation","shaping intent, tool use, artistic vision",SHAPING
knead,"work, massage, press, manipulate","relax, unwork, abandon, ignore","dough consistency, texture development, mixture formation","cooking intent, muscle action, dough preparation",SHAPING
squash,"crush, flatten, press, compress","expand, inflate, puff, decompress","volume reduction, flatness, pulping","force application, pressure, crushing intent",SHAPING
smooth,"flatten, polish, even, refine","roughen, wrinkle, crumple, corrupt","texture refinement, surface evenness, friction reduction","smoothing intent, rubbing action, refinement",SHAPING
wrinkle,"crease, furrow, crumple, corrugate","smooth, flatten, press, iron","crease formation, texture irregularity, aging appearance","aging, pressure, bunching, creasing action",SHAPING
crumple,"wrinkle, scrunch, crease, fold","smooth, flatten, press, unfold","random creasing, volume reduction, disorganization","force application, hand pressure, discard action",SHAPING
lift,"raise, elevate, hoist, pick up","drop, lower, place, set down","height increase, object elevation, vertical displacement","muscle power, lifting intent, weight overcoming",LIFTING
raise,"lift, elevate, hoist, uphold","lower, drop, depress, humble","height increase, position elevation, status increase","lifting force, elevation intent, muscle power",LIFTING
hoist,"lift, raise, elevate, haul up","lower, drop, descend, let down","heavy object elevation, mechanical lifting, height achievement","hoist mechanism, heavy weight, lifting equipment",LIFTING
elevate,"raise, lift, heighten, uphold","lower, depress, demote, descend","height increase, status elevation, position improvement","elevation intent, muscle power, mechanical lift",LIFTING
lower,"drop, descend, depress, reduce","raise, lift, elevate, ascend","height decrease, gentle descent, position reduction","lowering intent, gravity, controlled descent",LIFTING
drop,"fall, plummet, release, lower","lift, raise, catch, hold","gravity action, height loss, object release","release intent, grip loss, gravity",LIFTING
place,"put, set, position, deposit","remove, take, lift, pick up","position establishment, object placement, surface contact","placement intent, object availability, location need",LIFTING
deposit,"place, put, set, lay","take, remove, withdraw, extract","object placement, accumulation, settling","placement intent, delivery completion, settling action",LIFTING
set,"place, put, position, establish","remove, take, unset, rise","position establishment, object setting, configuration","placement intent, setting need, arrangement",LIFTING
put,"place, set, position, deposit","take, remove, lift, carry away","position achievement, object placement, location setting","placement intent, direction, position need",LIFTING
