Word,Synonyms,Antonyms,Causes,Caused_By,Category,Interconnections
hate,"despise, loathe, detest, abhor","love, like, cherish, adore","emotional rejection, hostility, antagonism","wrongdoing, betrayal, disrespect",CONFLICT,2
insult,"offend, disrespect, belittle, demean","compliment, respect, honor, praise","emotional harm, offense, relationship damage","disrespect, anger, contempt",CONFLICT,0
neglect,"ignore, disregard, abandon, overlook","care for, nurture, support, attend","abandonment, emotional harm, relationship damage","carelessness, disinterest, deprioritization",CONFLICT,0
oppose,"resist, contest, challenge, defy","support, agree, cooperate, yield","conflict, position assertion, power struggle","disagreement, values clash, competition",CONFLICT,1
quarrel,"argue, dispute, bicker, wrangle","agree, cooperate, harmonize, reconcile","verbal conflict, relationship strain, emotion","disagreement, irritation, misunderstanding",CONFLICT,1
reject,"refuse, deny, spurn, decline","accept, embrace, approve, welcome","refusal, exclusion, relationship damage","disapproval, incompatibility, values",CONFLICT,4
resist,"oppose, defy, reject, withstand","surrender, submit, accept, comply","opposition display, conflict, control prevention","disagreement, disrespect, autonomy assertion",CONFLICT,2
allow,"permit, enable, tolerate, consent","forbid, deny, prevent, prohibit","action allowance, freedom, consent","authority, tolerance, judgment",DOMINANCE,1
command,"order, direct, instruct, mandate","obey, comply, submit, follow","action execution, behavior control, hierarchy","authority, leadership, power position",DOMINANCE,3
control,"manage, direct, rule, govern","release, free, empower, liberate","behavioral regulation, power assertion, hierarchy","authority, position, power",DOMINANCE,3
demand,"require, insist, claim, assert","request, suggest, beg, plead","compliance requirement, assertion, control","entitlement, power, need",DOMINANCE,0
deny,"refuse, reject, disallow, prohibit","grant, allow, permit, give","action prevention, refusal, deprivation","judgment, authority, disagreement",DOMINANCE,2
dominate,"control, rule, command, govern","submit, obey, yield, surrender","power establishment, control assumption, hierarchy","strength, position, authority",DOMINANCE,1
forbid,"ban, prohibit, prevent, deny","permit, allow, authorize, enable","action prevention, boundary setting, control","authority, danger, values",DOMINANCE,0
govern,"rule, control, manage, regulate","obey, submit, yield, follow","leadership establishment, rule implementation, order","authority, position, power",DOMINANCE,3
lead,"guide, direct, command, head","follow, obey, submit, serve","direction provision, group movement, authority","skill, position, influence",DOMINANCE,0
order,"command, direct, instruct, mandate","request, suggest, recommend, propose","obedience requirement, action directive, control","authority, power, necessity",DOMINANCE,1
permit,"allow, enable, authorize, consent","forbid, deny, prohibit, prevent","action allowance, freedom, authority exercise","authority, consent, judgment",DOMINANCE,1
request,"ask, petition, appeal, solicit","demand, command, order, insist","action request, permission seeking, cooperation","need, politeness, uncertainty",DOMINANCE,0
rule,"govern, control, dominate, reign","obey, serve, submit, yield","authority exercise, order maintenance, power display","position, power, legitimacy",DOMINANCE,3
collaborate,"cooperate, work together, partner, team","compete, isolate, oppose, sabotage","combined effort, shared results, synergy","common goals, expertise sharing, efficiency",GROUP_DYNAMICS,1
cooperate,"collaborate, work together, unite, assist","compete, resist, oppose, isolate","mutual goal achievement, synergy, effectiveness","shared goals, mutual benefit, necessity",GROUP_DYNAMICS,1
exclude,"ban, reject, isolate, shun","include, accept, welcome, embrace","group boundary, rejection, isolation","disagreement, values clash, judgment",GROUP_DYNAMICS,2
include,"accept, embrace, admit, welcome","exclude, reject, isolate, shun","group membership, belonging, participation","acceptance, openness, values alignment",GROUP_DYNAMICS,0
isolate,"separate, exclude, quarantine, detach","include, unite, connect, integrate","separation, loneliness, vulnerability","rejection, punishment, disease",GROUP_DYNAMICS,1
participate,"join, contribute, engage, take part","abstain, withdraw, refrain, sit out","group involvement, contribution, membership","interest, invitation, commitment",GROUP_DYNAMICS,0
shun,"avoid, reject, exclude, spurn","welcome, embrace, accept, befriend","rejection, isolation, boundary setting","disapproval, disrespect, judgment",GROUP_DYNAMICS,1
unite,"join, combine, merge, ally","separate, divide, split, scatter","strength increase, group formation, solidarity","shared purpose, threat, common ground",GROUP_DYNAMICS,2
welcome,"greet, receive, accept, embrace","reject, shun, exclude, rebuff","acceptance, belonging, positive greeting","hospitality, acceptance, shared values",GROUP_DYNAMICS,2
apologize,"regret, ask pardon, atone, repent","justify, defend, blame, accuse","forgiveness opportunity, relationship repair, peace","regret, shame, responsibility recognition",RECONCILIATION,0
forgive,"pardon, excuse, absolve, overlook","condemn, punish, resent, hold grudge","conflict resolution, relationship healing, peace","remorse, apology, compassion",RECONCILIATION,1
heal,"mend, repair, restore, recover","wound, harm, damage, break","emotional recovery, relationship repair, wholeness","time, forgiveness, care",RECONCILIATION,1
make up,"reconcile, reunite, forgive, restore","break up, separate, fight, argue","conflict resolution, relationship restoration, peace","apology, forgiveness, mutual desire",RECONCILIATION,1
mend,"repair, fix, heal, restore","break, tear, damage, destroy","relationship restoration, wholeness, healing","effort, care, shared commitment",RECONCILIATION,2
reconcile,"make up, reunite, restore, repair","separate, divide, break up, estrange","relationship restoration, conflict resolution, harmony","apology, forgiveness, shared values",RECONCILIATION,1
repair,"fix, restore, mend, rebuild","break, damage, destroy, ruin","relationship restoration, functionality, improvement","effort, willingness, mutual intent",RECONCILIATION,3
beg,"plead, entreat, implore, beseech","demand, command, order, insist","action request, appeal, submission","desperation, need, humility",SUBMISSION,0
comply,"obey, follow, conform, adhere","disobey, resist, defy, violate","rule acceptance, action compliance, order","authority, rules, requirement",SUBMISSION,1
defer,"submit, yield, respect, acknowledge","insist, assert, dominate, override","judgment acceptance, respect display, submission","respect, authority, wisdom recognition",SUBMISSION,0
follow,"obey, trail, succeed, emulate","lead, precede, resist, rebel","direction acceptance, hierarchy, movement","leadership, authority, choice",SUBMISSION,2
obey,"comply, follow, submit, yield","disobey, resist, rebel, defy","action compliance, hierarchy acceptance, control","authority recognition, fear, respect",SUBMISSION,3
serve,"assist, work for, obey, attend","command, lead, rule, dominate","assistance provision, submission, hierarchy","obligation, respect, position",SUBMISSION,0
submit,"yield, surrender, capitulate, give in","resist, rebel, defy, oppose","control acceptance, hierarchy acceptance, defeat","force, circumstances, acceptance",SUBMISSION,4
surrender,"yield, submit, give up, capitulate","resist, fight, oppose, defy","control transfer, defeat acceptance, peace","force, exhaustion, choice",SUBMISSION,2
yield,"give way, submit, surrender, concede","resist, insist, demand, dominate","control transfer, acceptance, hierarchy","force, wisdom, necessity",SUBMISSION,4
